Vardas                        Pavarde                       Galutinis balas (vidurkis)    
Vardenis1151                  Pavardenis1151                3.12                          
Vardenis1152                  Pavardenis1152                4.24                          
Vardenis1153                  Pavardenis1153                2.96                          
Vardenis1154                  Pavardenis1154                3.92                          
Vardenis1155                  Pavardenis1155                3.44                          
Vardenis1156                  Pavardenis1156                3.68                          
Vardenis1157                  Pavardenis1157                3.60                          
Vardenis1158                  Pavardenis1158                2.88                          
Vardenis1159                  Pavardenis1159                2.48                          
Vardenis116                   Pavardenis116                 3.84                          
Vardenis1160                  Pavardenis1160                2.72                          
Vardenis1161                  Pavardenis1161                3.20                          
Vardenis1162                  Pavardenis1162                3.44                          
Vardenis1163                  Pavardenis1163                3.52                          
Vardenis1164                  Pavardenis1164                2.88                          
Vardenis1165                  Pavardenis1165                3.76                          
Vardenis1166                  Pavardenis1166                3.12                          
Vardenis1167                  Pavardenis1167                3.60                          
Vardenis1168                  Pavardenis1168                2.32                          
Vardenis1169                  Pavardenis1169                3.68                          
Vardenis117                   Pavardenis117                 2.88                          
Vardenis1170                  Pavardenis1170                2.88                          
Vardenis1171                  Pavardenis1171                3.92                          
Vardenis1172                  Pavardenis1172                4.16                          
Vardenis1173                  Pavardenis1173                4.08                          
Vardenis1174                  Pavardenis1174                3.52                          
Vardenis1175                  Pavardenis1175                3.76                          
Vardenis1176                  Pavardenis1176                3.28                          
Vardenis1177                  Pavardenis1177                3.76                          
Vardenis1178                  Pavardenis1178                3.20                          
Vardenis1179                  Pavardenis1179                3.52                          
Vardenis118                   Pavardenis118                 3.28                          
Vardenis1180                  Pavardenis1180                3.68                          
Vardenis1181                  Pavardenis1181                3.12                          
Vardenis1182                  Pavardenis1182                3.36                          
Vardenis1183                  Pavardenis1183                4.24                          
Vardenis1184                  Pavardenis1184                2.24                          
Vardenis1185                  Pavardenis1185                3.04                          
Vardenis1186                  Pavardenis1186                3.04                          
Vardenis1187                  Pavardenis1187                3.20                          
Vardenis1188                  Pavardenis1188                3.76                          
Vardenis1189                  Pavardenis1189                4.00                          
Vardenis119                   Pavardenis119                 3.68                          
Vardenis1190                  Pavardenis1190                2.88                          
Vardenis1191                  Pavardenis1191                4.08                          
Vardenis1192                  Pavardenis1192                3.52                          
Vardenis1193                  Pavardenis1193                3.44                          
Vardenis1194                  Pavardenis1194                3.44                          
Vardenis1195                  Pavardenis1195                2.08                          
Vardenis1196                  Pavardenis1196                2.80                          
Vardenis1197                  Pavardenis1197                2.80                          
Vardenis1198                  Pavardenis1198                4.32                          
Vardenis1199                  Pavardenis1199                3.04                          
Vardenis12                    Pavardenis12                  4.08                          
Vardenis120                   Pavardenis120                 4.40                          
Vardenis1200                  Pavardenis1200                4.16                          
Vardenis1201                  Pavardenis1201                3.60                          
Vardenis1202                  Pavardenis1202                4.08                          
Vardenis1203                  Pavardenis1203                3.84                          
Vardenis1204                  Pavardenis1204                3.36                          
Vardenis1205                  Pavardenis1205                3.12                          
Vardenis1206                  Pavardenis1206                4.16                          
Vardenis1207                  Pavardenis1207                2.72                          
Vardenis1208                  Pavardenis1208                4.08                          
Vardenis1209                  Pavardenis1209                3.68                          
Vardenis121                   Pavardenis121                 3.84                          
Vardenis1210                  Pavardenis1210                3.28                          
Vardenis1211                  Pavardenis1211                3.28                          
Vardenis1212                  Pavardenis1212                2.88                          
Vardenis1213                  Pavardenis1213                2.72                          
Vardenis1214                  Pavardenis1214                3.12                          
Vardenis1215                  Pavardenis1215                3.44                          
Vardenis1216                  Pavardenis1216                3.52                          
Vardenis1217                  Pavardenis1217                3.52                          
Vardenis1218                  Pavardenis1218                2.88                          
Vardenis1219                  Pavardenis1219                2.80                          
Vardenis122                   Pavardenis122                 3.04                          
Vardenis1220                  Pavardenis1220                2.88                          
Vardenis1221                  Pavardenis1221                3.12                          
Vardenis1222                  Pavardenis1222                3.60                          
Vardenis1223                  Pavardenis1223                3.68                          
Vardenis1224                  Pavardenis1224                3.60                          
Vardenis1225                  Pavardenis1225                4.40                          
Vardenis1226                  Pavardenis1226                3.04                          
Vardenis1227                  Pavardenis1227                3.36                          
Vardenis1228                  Pavardenis1228                3.92                          
Vardenis1229                  Pavardenis1229                2.48                          
Vardenis123                   Pavardenis123                 3.44                          
Vardenis1230                  Pavardenis1230                3.76                          
Vardenis1231                  Pavardenis1231                3.44                          
Vardenis1232                  Pavardenis1232                3.92                          
Vardenis1233                  Pavardenis1233                2.16                          
Vardenis1234                  Pavardenis1234                2.96                          
Vardenis1235                  Pavardenis1235                3.04                          
Vardenis1236                  Pavardenis1236                3.36                          
Vardenis1237                  Pavardenis1237                3.76                          
Vardenis1238                  Pavardenis1238                3.28                          
Vardenis1239                  Pavardenis1239                3.20                          
Vardenis124                   Pavardenis124                 4.64                          
Vardenis1240                  Pavardenis1240                3.76                          
Vardenis1241                  Pavardenis1241                2.80                          
Vardenis1242                  Pavardenis1242                2.88                          
Vardenis1243                  Pavardenis1243                3.92                          
Vardenis1244                  Pavardenis1244                2.24                          
Vardenis1245                  Pavardenis1245                3.20                          
Vardenis1246                  Pavardenis1246                3.20                          
Vardenis1247                  Pavardenis1247                3.52                          
Vardenis1248                  Pavardenis1248                3.36                          
Vardenis1249                  Pavardenis1249                3.60                          
Vardenis125                   Pavardenis125                 4.16                          
Vardenis1250                  Pavardenis1250                3.76                          
Vardenis1251                  Pavardenis1251                3.76                          
Vardenis1252                  Pavardenis1252                3.44                          
Vardenis1253                  Pavardenis1253                4.48                          
Vardenis1254                  Pavardenis1254                3.68                          
Vardenis1255                  Pavardenis1255                2.88                          
Vardenis1256                  Pavardenis1256                4.16                          
Vardenis1257                  Pavardenis1257                3.20                          
Vardenis1258                  Pavardenis1258                3.28                          
Vardenis1259                  Pavardenis1259                3.52                          
Vardenis126                   Pavardenis126                 3.76                          
Vardenis1260                  Pavardenis1260                3.76                          
Vardenis1261                  Pavardenis1261                3.76                          
Vardenis1262                  Pavardenis1262                3.20                          
Vardenis1263                  Pavardenis1263                4.00                          
Vardenis1264                  Pavardenis1264                3.36                          
Vardenis1265                  Pavardenis1265                3.60                          
Vardenis1266                  Pavardenis1266                3.28                          
Vardenis1267                  Pavardenis1267                3.76                          
Vardenis1268                  Pavardenis1268                2.32                          
Vardenis1269                  Pavardenis1269                3.76                          
Vardenis127                   Pavardenis127                 3.12                          
Vardenis1270                  Pavardenis1270                3.68                          
Vardenis1271                  Pavardenis1271                4.08                          
Vardenis1272                  Pavardenis1272                3.20                          
Vardenis1273                  Pavardenis1273                3.12                          
Vardenis1274                  Pavardenis1274                3.60                          
Vardenis1275                  Pavardenis1275                2.96                          
Vardenis1276                  Pavardenis1276                2.88                          
Vardenis1277                  Pavardenis1277                2.56                          
Vardenis1278                  Pavardenis1278                3.36                          
Vardenis1279                  Pavardenis1279                4.32                          
Vardenis128                   Pavardenis128                 3.36                          
Vardenis1280                  Pavardenis1280                3.92                          
Vardenis1281                  Pavardenis1281                4.48                          
Vardenis1282                  Pavardenis1282                3.52                          
Vardenis1283                  Pavardenis1283                2.48                          
Vardenis1284                  Pavardenis1284                2.72                          
Vardenis1285                  Pavardenis1285                3.68                          
Vardenis1286                  Pavardenis1286                3.60                          
Vardenis1287                  Pavardenis1287                2.96                          
Vardenis1288                  Pavardenis1288                3.36                          
Vardenis1289                  Pavardenis1289                3.84                          
Vardenis129                   Pavardenis129                 4.48                          
Vardenis1290                  Pavardenis1290                4.24                          
Vardenis1291                  Pavardenis1291                3.92                          
Vardenis1292                  Pavardenis1292                3.52                          
Vardenis1293                  Pavardenis1293                3.68                          
Vardenis1294                  Pavardenis1294                3.68                          
Vardenis1295                  Pavardenis1295                3.20                          
Vardenis1296                  Pavardenis1296                3.52                          
Vardenis1297                  Pavardenis1297                3.20                          
Vardenis1298                  Pavardenis1298                3.68                          
Vardenis1299                  Pavardenis1299                3.68                          
Vardenis13                    Pavardenis13                  2.88                          
Vardenis130                   Pavardenis130                 2.48                          
Vardenis1300                  Pavardenis1300                2.56                          
Vardenis1301                  Pavardenis1301                4.16                          
Vardenis1302                  Pavardenis1302                2.96                          
Vardenis1303                  Pavardenis1303                4.00                          
Vardenis1304                  Pavardenis1304                3.44                          
Vardenis1305                  Pavardenis1305                3.84                          
Vardenis1306                  Pavardenis1306                4.24                          
Vardenis1307                  Pavardenis1307                3.28                          
Vardenis1308                  Pavardenis1308                3.28                          
Vardenis1309                  Pavardenis1309                2.96                          
Vardenis131                   Pavardenis131                 3.52                          
Vardenis1310                  Pavardenis1310                2.72                          
Vardenis1311                  Pavardenis1311                3.20                          
Vardenis1312                  Pavardenis1312                3.52                          
Vardenis1313                  Pavardenis1313                3.28                          
Vardenis1314                  Pavardenis1314                2.16                          
Vardenis1315                  Pavardenis1315                3.44                          
Vardenis1316                  Pavardenis1316                2.96                          
Vardenis1317                  Pavardenis1317                3.44                          
Vardenis1318                  Pavardenis1318                3.76                          
Vardenis1319                  Pavardenis1319                3.52                          
Vardenis132                   Pavardenis132                 3.28                          
Vardenis1320                  Pavardenis1320                3.68                          
Vardenis1321                  Pavardenis1321                4.00                          
Vardenis1322                  Pavardenis1322                4.00                          
Vardenis1323                  Pavardenis1323                3.84                          
Vardenis1324                  Pavardenis1324                3.68                          
Vardenis1325                  Pavardenis1325                3.44                          
Vardenis1326                  Pavardenis1326                2.64                          
Vardenis1327                  Pavardenis1327                3.36                          
Vardenis1328                  Pavardenis1328                4.00                          
Vardenis1329                  Pavardenis1329                4.24                          
Vardenis133                   Pavardenis133                 3.52                          
Vardenis1330                  Pavardenis1330                3.84                          
Vardenis1331                  Pavardenis1331                3.04                          
Vardenis1332                  Pavardenis1332                3.44                          
Vardenis1333                  Pavardenis1333                4.40                          
Vardenis1334                  Pavardenis1334                3.04                          
Vardenis1335                  Pavardenis1335                3.36                          
Vardenis1336                  Pavardenis1336                3.28                          
Vardenis1337                  Pavardenis1337                2.56                          
Vardenis1338                  Pavardenis1338                3.12                          
Vardenis1339                  Pavardenis1339                4.00                          
Vardenis134                   Pavardenis134                 4.24                          
Vardenis1340                  Pavardenis1340                3.76                          
Vardenis1341                  Pavardenis1341                2.40                          
Vardenis1342                  Pavardenis1342                2.56                          
Vardenis1343                  Pavardenis1343                3.84                          
Vardenis1344                  Pavardenis1344                2.80                          
Vardenis1345                  Pavardenis1345                3.28                          
Vardenis1346                  Pavardenis1346                3.60                          
Vardenis1347                  Pavardenis1347                4.32                          
Vardenis1348                  Pavardenis1348                3.44                          
Vardenis1349                  Pavardenis1349                3.12                          
Vardenis135                   Pavardenis135                 3.92                          
Vardenis1350                  Pavardenis1350                4.00                          
Vardenis1351                  Pavardenis1351                3.36                          
Vardenis1352                  Pavardenis1352                3.52                          
Vardenis1353                  Pavardenis1353                3.60                          
Vardenis1354                  Pavardenis1354                3.36                          
Vardenis1355                  Pavardenis1355                3.12                          
Vardenis1356                  Pavardenis1356                3.68                          
Vardenis1357                  Pavardenis1357                3.76                          
Vardenis1358                  Pavardenis1358                2.88                          
Vardenis1359                  Pavardenis1359                3.84                          
Vardenis136                   Pavardenis136                 3.76                          
Vardenis1360                  Pavardenis1360                4.24                          
Vardenis1361                  Pavardenis1361                2.72                          
Vardenis1362                  Pavardenis1362                2.56                          
Vardenis1363                  Pavardenis1363                3.44                          
Vardenis1364                  Pavardenis1364                2.40                          
Vardenis1365                  Pavardenis1365                3.68                          
Vardenis1366                  Pavardenis1366                3.20                          
Vardenis1367                  Pavardenis1367                3.92                          
Vardenis1368                  Pavardenis1368                3.60                          
Vardenis1369                  Pavardenis1369                3.52                          
Vardenis137                   Pavardenis137                 3.60                          
Vardenis1370                  Pavardenis1370                3.52                          
Vardenis1371                  Pavardenis1371                3.04                          
Vardenis1372                  Pavardenis1372                3.12                          
Vardenis1373                  Pavardenis1373                2.96                          
Vardenis1374                  Pavardenis1374                3.84                          
Vardenis1375                  Pavardenis1375                3.20                          
Vardenis1376                  Pavardenis1376                3.04                          
Vardenis1377                  Pavardenis1377                4.24                          
Vardenis1378                  Pavardenis1378                3.44                          
Vardenis1379                  Pavardenis1379                3.92                          
Vardenis138                   Pavardenis138                 3.68                          
Vardenis1380                  Pavardenis1380                3.60                          
Vardenis1381                  Pavardenis1381                2.80                          
Vardenis1382                  Pavardenis1382                4.32                          
Vardenis1383                  Pavardenis1383                2.96                          
Vardenis1384                  Pavardenis1384                2.96                          
Vardenis1385                  Pavardenis1385                2.80                          
Vardenis1386                  Pavardenis1386                3.68                          
Vardenis1387                  Pavardenis1387                3.44                          
Vardenis1388                  Pavardenis1388                4.16                          
Vardenis1389                  Pavardenis1389                4.24                          
Vardenis139                   Pavardenis139                 3.92                          
Vardenis1390                  Pavardenis1390                4.00                          
Vardenis1391                  Pavardenis1391                2.40                          
Vardenis1392                  Pavardenis1392                3.52                          
Vardenis1393                  Pavardenis1393                2.88                          
Vardenis1394                  Pavardenis1394                3.12                          
Vardenis1395                  Pavardenis1395                3.28                          
Vardenis1396                  Pavardenis1396                3.52                          
Vardenis1397                  Pavardenis1397                4.08                          
Vardenis1398                  Pavardenis1398                3.04                          
Vardenis1399                  Pavardenis1399                3.52                          
Vardenis14                    Pavardenis14                  3.76                          
Vardenis140                   Pavardenis140                 2.80                          
Vardenis1400                  Pavardenis1400                2.96                          
Vardenis1401                  Pavardenis1401                3.28                          
Vardenis1402                  Pavardenis1402                3.36                          
Vardenis1403                  Pavardenis1403                3.28                          
Vardenis1404                  Pavardenis1404                3.20                          
Vardenis1405                  Pavardenis1405                3.20                          
Vardenis1406                  Pavardenis1406                3.28                          
Vardenis1407                  Pavardenis1407                3.28                          
Vardenis1408                  Pavardenis1408                2.88                          
Vardenis1409                  Pavardenis1409                3.60                          
Vardenis141                   Pavardenis141                 3.36                          
Vardenis1410                  Pavardenis1410                3.76                          
Vardenis1411                  Pavardenis1411                2.88                          
Vardenis1412                  Pavardenis1412                3.84                          
Vardenis1413                  Pavardenis1413                4.48                          
Vardenis1414                  Pavardenis1414                3.04                          
Vardenis1415                  Pavardenis1415                3.20                          
Vardenis1416                  Pavardenis1416                2.48                          
Vardenis1417                  Pavardenis1417                3.68                          
Vardenis1418                  Pavardenis1418                3.44                          
Vardenis1419                  Pavardenis1419                4.16                          
Vardenis142                   Pavardenis142                 3.36                          
Vardenis1420                  Pavardenis1420                3.44                          
Vardenis1421                  Pavardenis1421                4.72                          
Vardenis1422                  Pavardenis1422                3.52                          
Vardenis1423                  Pavardenis1423                2.56                          
Vardenis1424                  Pavardenis1424                4.32                          
Vardenis1425                  Pavardenis1425                2.80                          
Vardenis1426                  Pavardenis1426                3.28                          
Vardenis1427                  Pavardenis1427                3.20                          
Vardenis1428                  Pavardenis1428                3.68                          
Vardenis1429                  Pavardenis1429                3.04                          
Vardenis143                   Pavardenis143                 3.12                          
Vardenis1430                  Pavardenis1430                4.16                          
Vardenis1431                  Pavardenis1431                2.96                          
Vardenis1432                  Pavardenis1432                3.52                          
Vardenis1433                  Pavardenis1433                3.04                          
Vardenis1434                  Pavardenis1434                3.52                          
Vardenis1435                  Pavardenis1435                3.68                          
Vardenis1436                  Pavardenis1436                4.40                          
Vardenis1437                  Pavardenis1437                3.60                          
